artist,year,song,album
"Michael Martin Murphey",1975,Wildfire,NULL
"Dario G",1997,Sunchyme,NULL
"Shaun Cassidy",1977,"That's Rock 'n' Roll",NULL
"Benny Mardones",1980,"Into the Night",NULL
"Rufus Thomas",1963,"Walkin' the Dog",NULL
"McGuire Sisters",1955,Sincerely,NULL
"Girls Aloud",2003,"Sound of the Underground",NULL
"Geri Halliwell",1999,"Look At Me",NULL
"Rosemary Clooney",1952,"Botch-a-me (Ba-ba-baciami piccina)",NULL
"Wayne Wonder",2003,"No Letting Go",NULL
"Duck Sauce",2010,"Barbra Streisand",NULL
"Paul Whiteman",1922,"I'll Build a Stairway to Paradise",NULL
"Perry Como",1946,Surrender,NULL
"Ruby Murray",1955,"Softly Softly",NULL
"Marino Marini & his Quartet",1958,"More Than Ever (Come Prima)",NULL
Gallery,1972,"Nice To Be With You",NULL
"P Diddy & R Kelly",1999,"Satisfy You",NULL
"Michelle Branch",2003,"Are You Happy Now",NULL
Showaddywaddy,1977,"Under the Moon of Love",NULL
Ginuwine,1997,Pony,NULL
"Seals & Crofts",1972,"Summer Breeze",NULL
"The Carter Family",1928,"Keep on the Sunny Side",NULL
"Bobby Rydell",1960,Volare,NULL
"Inez & Charlie Foxx",1963,Mockingbird,NULL
"Double You",1992,"Please Don't Go",NULL
"Duke Ellington",1932,"It Don't Mean a Thing (If It Ain't Got That Swing)",NULL
"Ronnie Hilton",1956,"No Other Love",NULL
"France Gall",1965,"Poupee De Cire, Poupee De Son",NULL
"Jason Derulo & 2 Chainz",2013,"Talk Dirty",NULL
"Barbara George",1962,"I Know (You Don't Love Me No More)",NULL
Shalamar,1980,"The Second Time Around",NULL
"The Staple Singers",1975,"Let's Do It Again",NULL
"Adam Lambert",2010,"What Do You Want From Me?",NULL
"Ruth Etting",1928,"Love Me Or Leave Me",NULL
"The Isley Brothers",1973,"That Lady",NULL
"Alain Barriere & Noelle Cordier",1975,"Tu t'en vas",NULL
"The Drifters",1963,"On Broadway",NULL
"Ricky Nelson",1958,"Stood Up",NULL
"Billy J Kramer & The Dakotas",1964,"Little Children",NULL
"Tiziano Ferro",2002,Perdono,NULL
"The Music Explosion",1967,"Little Bit O' Soul",NULL
"Les Humphries Singers",1972,Mexico,NULL
"Gene Autry",1939,"Back in the Saddle Again",NULL
"Justin Bieber & Ludacris",2010,Baby,NULL
Houston,2004,"I Like That",NULL
Dramatics,1972,"In The Rain",NULL
Luv',1978,"You're The Greatest Lover",NULL
"Al Jolson",1926,"I'm Sitting On Top of the World",NULL
"Burl Ives",1949,"Lavender Blue",NULL
"Vicki Lawrence",1973,"The Night The Lights Went Out In Georgia",NULL
"B J Thomas",1975,"(Hey Won't You Play) Another Somebody Done Somebody Wrong Song",NULL
"Rupert Holmes",1980,Him,NULL
Martika,1989,"I Feel the Earth Move",NULL
"White Plains",1970,"My Baby Loves Lovin'",NULL
"Peter Cetera & Cher",1989,"After All",NULL
"Pat Boone",1956,"I Almost Lost My Mind",NULL
Indeep,1983,"Last Night a DJ Saved My Life",NULL
"Little Jimmy Osmond",1972,"Long Haired Lover From Liverpool",NULL
"Brenda Lee",1960,"Sweet Nothin's",NULL
"Ozark Mountain Daredevils",1975,"Jackie Blue",NULL
"Tommy Steele",1957,"Singing The Blues",NULL
"Timi Yuro",1961,Hurt,NULL
"Inner City",1989,"Good Life",NULL
"Al Green",1972,"Look What You Done for Me",NULL
Expose,1988,"Seasons Change",NULL
Righeira,1983,"Vamos a la playa",NULL
"The Ink Spots",1940,"When The Swallows Come Back to Capistrano",NULL
"Cobra Starship",2009,"Good Girls Go Bad",NULL
Pebbles,1990,"Giving You the Benefit",NULL
"Blue Magic",1974,Sideshow,NULL
"Claude King",1962,"Wolverton Mountain",NULL
"John Lee Hooker",1962,"Boom Boom",NULL
"Billy Preston",1974,"Nothing From Nothing",NULL
"Randy Newman",1978,"Short People",NULL
"Soulful Dynamics",1970,"Mademoiselle Ninette",NULL
"Evelyn Thomas",1984,"High Energy",NULL
"Gordon Jenkins",1950,"My Foolish Heart",NULL
"The Shangri-Las",1964,"Remember (Walkin' in the Sand)",NULL
Shontelle,2010,Impossible,NULL
Champaign,1981,"How 'bout Us",NULL
"Joe 'Fingers' Carr",1951,"Down Yonder",NULL
"Bobby Vinton",1964,"There! I've Said it Again",NULL
"Mary Mary",2000,"Shackles (Praise You)",NULL
"Johnnie Ray",1952,"Walkin' My Baby Back Home",NULL
Odyssey,1981,"Going Back to My Roots",NULL
"Frankie Laine",1953,"Hey Joe",NULL
"Bing Crosby & Trudy Erwin",1943,"Oh, What a Beautiful Mornin'",NULL
Calloway,1990,"I Wanna Be Rich",NULL
"Timbaland & Katy Perry",2010,"If We Ever Meet Again",NULL
"Edwin Starr",1969,"Twenty Five Miles",NULL
Warrant,1989,Heaven,NULL
"Peggy Lee",1947,"Golden Earrings",NULL
"The Sugababes",2003,"Hole in the Head",NULL
"Rita Coolidge",1977,"We're All Alone",NULL
"Keith Carradine",1976,"I'm Easy",NULL
"Leroy Van Dyke",1961,"Walk On By",NULL
"Rita Coolidge",1977,"(Your Love Keeps Lifting Me) Higher & Higher",NULL
"Robert Johnson",1936,"Cross Road Blues",NULL
Cornershop,1998,"Brimful of Asha",NULL
"Eddie Cochran",1960,"Three Steps to Heaven",NULL
Dion,1963,"Ruby Baby",NULL
"Sweet Sensation",1975,"Sad Sweet Dreamer",NULL
"The Sweet",1978,"Love is Like Oxygen",NULL
"Muddy Waters",1955,"Mannish Boy",NULL
"Sean Kingston",2009,"Fire Burning",NULL
"Al Martino",1966,"Spanish Eyes",NULL
"Ten Sharp",1992,You,NULL
"Ella Fitzgerald & The Ink Spots",1945,"I'm Beginning to See The Light",NULL
"Connie Francis",1958,"Stupid Cupid",NULL
"Del Shannon",1963,"Little Town Flirt",NULL
"The Four Knights",1954,"I Get So Lonely (When I Dream About You)",NULL
"Peter Maffay",1971,Du,NULL
"Ray Noble",1935,"Isle of Capri",NULL
Eternal,1994,Stay,NULL
"Billy Eckstine",1951,"I Apologize",NULL
"The Delfonics",1968,"La La La (Means I Love You)",NULL
Cyrkle,1966,"Red Rubber Ball",NULL
"Gordon Jenkins & The Stardusters",1949,"I Don't See Me In Your Eyes Anymore",NULL
"Al Jolson",1926,"When the Red, Red Robin Comes Bob-Bob-Bobbin' Along",NULL
"Rhythm Heritage",1976,"Theme from 'SWAT'",NULL
Mud,1974,"Lonely This Christmas",NULL
"The Miracles",1962,"You Really Got a Hold on Me",NULL
"Sheb Wooley",1958,"Purple People Eater",NULL
"Jam & Spoon",1994,"Right in the Night (Fall in Love With Music)",NULL
"Les Humphries Singers",1973,"Mama Loo",NULL
"Pat Boone",1956,"Friendly Persuasion",NULL
"Boystown Gang",1982,"Can't Take My Eyes Off You",NULL
"Johnnie Ray",1952,"Please, Mister Sun",NULL
"Dolly Parton",1978,"Here You Come Again",NULL
"The Sugababes",2002,"Round Round",NULL
"David A Stewart",1990,"Lily Was Here",NULL
"Sergio Mendes & The Black Eyed Peas",2006,"Mas Que Nada",NULL
Exciters,1963,"Tell Him",NULL
"The Dovells",1961,"Bristol Stomp",NULL
"Tina Arena",1995,Chains,NULL
"Johnnie Ray",1959,"I'll Never Fall in Love Again",NULL
"John Sebastian",1976,"Welcome Back",NULL
"Spike Jones",1945,"Cocktails For Two",NULL
"2 In A Room",1991,"Wiggle It",NULL
Doop,1994,Doop,NULL
"Peter Bjorn & John",2006,"Young Folks",NULL
"Charles Aznavour",1974,She,NULL
"The Caesars",2003,"Jerk it Out",NULL
"Living In A Box",1987,"Living in a Box",NULL
"Chubby Checker",1962,"Slow Twistin'",NULL
Impressions,1963,"It's Alright",NULL
"Ann Lee",1999,"2 Times",NULL
"Sam Cooke",1963,"Another Saturday Night",NULL
"Patti Page",1951,"Mockingbird Hill",NULL
"Danny Mirror",1977,"I Remember Elvis Presley (The King is Dead)",NULL
J-Kwon,2004,Tipsy,NULL
"Les Baxter & his Orchestra",1953,"April In Portugal (The Whisp'ring Serenade)",NULL
"Elton John & Kiki Dee",1993,"True Love",NULL
Cappella,1993,"U Got 2 Let the Music",NULL
"The Andrews Sisters",1950,"I Wanna Be Loved",NULL
SWV,1993,"I'm So Into You",NULL
"Bertolt Brecht",1928,"Mack the Knife",NULL
"Mike & The Mechanics",1986,"All I Need is a Miracle",NULL
"Buddy Clark",1947,"Peg o' My Heart",NULL
"Guy Lombardo",1937,"It Looks Like Rain in Cherry Blossom Lane",NULL
King,1985,"Love & Pride",NULL
"Nico & Vinz",2014,"Am I Wrong",NULL
"Ray, Goodman & Brown",1980,"Special Lady",NULL
"James Baskett",1947,Zip-A-Dee-Doo-Dah,NULL
"Rihanna & Mikky Ekko",2013,Stay,NULL
"J Frank Wilson & the Cavaliers",1964,"The Last Kiss",NULL
"Keri Hilson & Kanye West & Ne-Yo",2009,"Knock You Down",NULL
"Gertrude Lawrence",1927,"Someone to Watch Over Me",NULL
"Eternal & Bebe Winans",1997,"I Wanna Be the Only One",NULL
"The Fontane Sisters",1955,"Heart of Stone",NULL
"Cheryl Lynn",1979,"Got To Be Real",NULL
"Maria Muldaur",1974,"Midnight At the Oasis",NULL
"Bob Luman",1960,"Let's Think About Living",NULL
"Calvin Harris",2012,"Feel So Close",NULL
"Freddy Martin",1949,"I've Got A Lovely Bunch of Coconuts",NULL
Robyn,1997,"Do You Know (What It Takes)",NULL
"Tevin Campbell",1992,"Tell Me What You Want Me To Do",NULL
"Guru Josh",2008,"Infinity 2008",NULL
"Paul Anka",1975,"I Don't Like To Sleep Alone",NULL
O-Town,2001,"All Or Nothing",NULL
"Gary Barlow",1996,"Forever Love",NULL
"Guy Lombardo",1937,"September in the Rain",NULL
Lasgo,2001,Something,NULL
"Georgia Gibbs",1955,"Tweedle Dee",NULL
"The Pied Pipers",1945,Dream,NULL
"Brook Benton",1959,"It's Just a Matter of Time",NULL
"Roberta Flack & Donny Hathaway",1972,"Where is the Love?",NULL
"Cliff Richard",1963,"Don't Talk to Him",NULL
"Marty Balin",1981,Hearts,NULL
"Lisa Lisa & Cult Jam",1987,"Lost In Emotion",NULL
"Dinah Shore",1941,"Yes My Darling Daughter",NULL
"Pacific Gas & Electric",1970,"Are You Ready?",NULL
Skyliners,1959,"Since I Don't Have You",NULL
"Michel Telo",2012,"Ai se eu te pego!",NULL
"Gareth Gates",2003,"Unchained Melody",NULL
"The O'Jays",1976,"I Love Music",NULL
"Kate Winslet",2001,"What If...",NULL
Rednex,1994,"Old Pop in an Oak",NULL
"Kenny Loggins & Stevie Nicks",1978,"Whenever I Call You 'friend'",NULL
"New Edition",1983,"Candy Girl",NULL
"Herman's Hermits",1965,Silhouettes,NULL
Sylvester,1978,"You Make Me Feel (Mighty Real)",NULL
"Macklemore & Ryan Lewis",2013,"Can't Hold Us",NULL
"Perry Como",1955,"Tina Marie",NULL
"Esther Phillips",1975,"What a Difference a Day Makes",NULL
"Paul Weston",1950,"Nevertheless (I'm in Love With You)",NULL
Lulu,1969,"Boom Bang-A-Bang",NULL
"Eddie Cantor",1921,Margie,NULL
"The Dovells",1963,"You Can't Sit Down",NULL
"Rudy Vallee & his Connecticut Yankees",1930,"Stein Song (University of Maine)",NULL
"Stevie Nicks & Tom Petty",1981,"Stop Draggin' My Heart Around",NULL
"Dean Martin",1954,Sway,NULL
"Bobby Vinton",1974,"My Melody Of Love",NULL
"Wayne King",1931,"Dream a Little Dream of Me",NULL
"Jimmy Dorsey",1941,"My Sister & I",NULL
"Mireille Mathieu",1967,"La Derniere Valse",NULL
"Jimmy Dorsey",1957,"So Rare",NULL
"Mitch Ryder & The Detroit Wheels",1966,"Devil With the Blue Dress",NULL
"Ramsey Lewis Trio",1965,"The 'in' Crowd",NULL
Bellini,1997,"Samba De Janeiro",NULL
"The Tremeloes",1969,"(Call Me) Number One",NULL
Ace,1975,"How Long?",NULL
"Marie Myriam",1977,"L'oiseau Et L'enfant",NULL
Racey,1979,"Lay Your Love on Me",NULL
"Damn Yankees",1991,"High Enough",NULL
"Carrapicho & Chilli",1997,"Tic Tic Tac (Dance To Boi Bumba!)",NULL
Technohead,1995,"I Wanna Be a Hippy",NULL
Connells,1995,'74-'75,NULL
"Dolly Parton",1974,Jolene,NULL
"Ritchie Family",1976,"The Best Disco in Town",NULL
"Four Lads",1954,Skokiaan,NULL
"Jessica Simpson",2004,"With You",NULL
"Dave & Ansil Collins",1971,"Double Barrel",NULL
"Frankie Laine",1955,"Cool Water",NULL
Wes,1997,Alane,NULL
"Nick Kamen",1990,"I Promised Myself",NULL
"Doctor & The Medics",1986,"Spirit in the Sky",NULL
"Junior Walker & The All-Stars",1965,Shotgun,NULL
"Sheila E",1986,"A Love Bizarre",NULL
"The Orlons",1963,"South Street",NULL
"Pharrell Williams",2003,Frontin',NULL
"Maxi Priest & Shaggy",1996,"That Girl",NULL
"Kardinal Offishall",2008,Dangerous,NULL
"Mark Oh",1995,"Tears Don't Lie",NULL
"Charlie Gracie",1957,Butterfly,NULL
D:Ream,1994,"Things Can Only Get Better",NULL
"The Manhattans",1980,"Shining Star",NULL
"Dick Haymes",1948,"Little White Lies",NULL
"Tommy Dorsey",1937,"The Dipsy Doodle",NULL
"Middle of The Road",1972,"Samson & Delilah",NULL
"Eve Young",1950,"If I Knew You Were Comin' I'd Have Baked a Cake",NULL
"Billy Whitlock",1950,"Hop Scotch Polka",NULL
"Glenn Frey",1985,"You Belong To The City",NULL
"Paul Whiteman",1926,"The Birth of the Blues",NULL
"Connie Francis",1960,"My Heart Has a Mind of It's Own",NULL
"The Left Banke",1966,"Walk Away Renee",NULL
"David Cassidy",1972,Cherish,NULL
Casuals,1968,Jesamine,NULL
"The New Seekers",1972,"Beg Steal Or Borrow",NULL
"Lil' Louis",1989,"French Kiss",NULL
"Dizzy Gillespie",1947,Manteca,NULL
"Louis Jordan",1944,"Is You Is or Is You Ain't (Ma' Baby)",NULL
"Johnny Wakelin",1976,"In Zaire",NULL
"The Osmonds",1971,Yo-yo,NULL
"Chuck Berry",1957,"Rock 'n' Roll Music",NULL
"Michael Zager Band",1978,"Let's All Chant",NULL
SWV,1996,"You're the One",NULL
"Cut 'N' Move",1993,"Give it Up",NULL
"Les Baxter & his Orchestra",1954,"The High & The Mighty",NULL
"Eric Carmen",1988,"Hungry Eyes",NULL
"Fatman Scoop",2003,"Be Faithful",NULL
"Brenda Russell",1988,"Piano in the Dark",NULL
"Andru Donalds",1995,Mishale,NULL
"Connie Francis",1960,Mama,NULL
"Booker T & the MGs",1969,"Time is Tight",NULL
"Frank Stallone",1983,"Far From Over",NULL
"Sniff & The Tears",1979,"Driver's Seat",NULL
Fendermen,1960,"Mule Skinner Blues",NULL
"Nancy Sinatra & Lee Hazlewood",1967,Jackson,NULL
"Rare Bird",1970,Sympathy,NULL
"Thin Lizzy",1973,"Whisky in the Jar",NULL
Mud,1975,"Oh Boy",NULL
"Duane Eddy",1958,"Rebel Rouser",NULL
"Kay Kyser",1942,"Strip Polka",NULL
"Bobby Freeman",1958,"Do You Want to Dance?",NULL
"Joe Tex",1977,"Ain't Gonna Bump No More (With No Big Fat Woman)",NULL
"Milk & Honey",1979,Hallelujah,NULL
Outlandish,2003,Aicha,NULL
"Muddy Waters",1954,"Hoochie Coochie Man",NULL
"Timex Social Club",1986,Rumors,NULL
"The Delfonics",1970,"Didn't I (Blow Your Mind This Time)",NULL
"Sam Cooke",1962,"Twistin' the Night Away",NULL
"Frankie Vaughan",1961,"Tower of Strength",NULL
"The Ink Spots",1940,Maybe,NULL
"The Game & 50 Cent",2005,"How We Do",NULL
Foxy,1978,"Get Off",NULL
"Robert John",1972,"The Lion Sleeps Tonight",NULL
"Cover Girls",1992,"Wishing On a Star",NULL
"Ludacris & Shaunna",2003,"Stand Up",NULL
"The Rays",1957,Silhouettes,NULL
"Brian McFadden & Delta Goodrem",2005,"Almost Here",NULL
"Cole Porter",1935,"You're the Top",NULL
"Harry James",1943,"Mister Five By Five",NULL
"Tennessee Ernie Ford",1949,"Mule Train",NULL
"Patsy Montana & The Prairie Ramblers",1935,"I Want to Be a Cowboy's Sweetheart",NULL
"The Gaylords",1954,"The Little Shoemaker",NULL
"Nicolette Larson",1979,"Lotta Love",NULL
"The Sweet",1972,"Poppa Joe",NULL
Breathe,1988,"How Can I Fall",NULL
"The Jaynettes",1963,"Sally, Go 'Round the Roses",NULL
"Bobby Darin",1960,"Beyond The Sea (La Mer)",NULL
"Jack Scott",1960,"What in the World's Come Over You",NULL
"Jesse McCartney",2008,Leavin',NULL
"Gary Puckett & The Union Gap",1968,"Woman Woman",NULL
"El DeBarge",1986,"Who's Johnny",NULL
"Nicki Minaj",2011,"Super Bass",NULL
"Midge Ure",1985,"If I Was",NULL
Hellogoodbye,2007,"Here in your Arms",NULL
"Paul Whiteman",1926,Valencia,NULL
LTD,1978,"(Everytime I Turn Around) Back In Love Again",NULL
"Howlin' Wolf",1956,"Smokestack Lightning",NULL
"Yazz & The Plastic Population",1988,"Stand Up For Your Love Rights",NULL
Animotion,1985,Obsession,NULL
"The Outhere Brothers",1994,"Don't Stop (Wiggle Wiggle)",NULL
"Pappa Bear",1998,Cherish,NULL
"Nick Lucas",1929,"Tip Toe Thru' The Tulips With Me",NULL
"Robin Gibb",1983,Juliet,NULL
"Ray J & Yung Berg",2008,"Sexy Can I",NULL
"Dion & The Belmonts",1958,"I Wonder Why",NULL
"Bowling For Soup",2004,1985,NULL
"Archie Bleyer",1954,"Hernando's Hideaway",NULL
"Wiz Khalifa",2011,"Black & Yellow",NULL
"Cornelius Brothers & Sister Rose",1972,"Too Late To Turn Back Now",NULL
"John Leyton",1961,"Johnny Remember Me",NULL
"Billy Cotton & his Band",1951,"The Petite Waltz (La Petite Valse)",NULL
"Nelson Eddy & Jo Stafford",1951,"With These Hands",NULL
"Jimmy Young",1951,"Too Young",NULL
"Michelle Branch",2001,Everywhere,NULL
"James Darren",1961,"Goodbye Cruel World",NULL
"Connie Francis",1960,"Jealous of you (Tango della gelosia)",NULL
"Vertical Horizon",2000,"Everything You Want",NULL
"Lee Ann Womack",2001,"I Hope You Dance",NULL
"Eddie Fisher",1952,"Tell Me Why",NULL
"New Edition",1996,"Hit Me Off",NULL
"Jane Morgan",1958,"The Day the Rains Came",NULL
Alcazar,2001,"Crying At the Discoteque",NULL
"The Yardbirds",1965,"Heart Full of Soul",NULL
"1910 Fruitgum Co",1969,"Indian Giver",NULL
"Julee Cruise",1991,Falling,NULL
"The Animals",1967,"San Franciscan Nights",NULL
"Wyclef Jean & Claudette Ortiz",2002,"Two Wrongs",NULL
"Bunny Berigan",1938,"I Can't Get Started",NULL
"The Isley Brothers",1969,"It's Your Thing",NULL
"Fats Waller",1934,"Honeysuckle Rose",NULL
"Ketty Lester",1962,"Love Letters",NULL
"Silvana Mangano",1953,"Anna (The Baion)",NULL
"Jimmy Eat World",2002,"The Middle",NULL
"Lil' Jon & The East Side Boyz",2003,"Get Low",NULL
"Liberty X",2002,"Just a Little",NULL
"Tony Martin",1949,"There's No Tomorrow",NULL
"The Shirelles",1961,"Dedicated to the One I Love",NULL
"Lisa Loeb & Nine Stories",1997,"I Do",NULL
"Freddy Cannon",1960,"Way Down Yonder in New Orleans",NULL
"Bobby Fuller Four",1966,"I Fought the Law",NULL
"Harry James",1942,"I Don't Want to Walk Without You",NULL
"Hamilton, Joe Frank & Reynolds",1975,"Fallin' in Love",NULL
"Mary Hopkin",1970,"Knock Knock Who's There?",NULL
"Brownsville Station",1974,"Smokin' in the Boys' Room",NULL
"Culture Beat",1993,"Got to Get It",NULL
"Bo Diddley",1955,"Bo Diddley",NULL
"Gary Puckett & The Union Gap",1968,"Over You",NULL
"Junior Walker & The All-Stars",1969,"What Does it Take (To Win Your Love)",NULL
"Frankie Ford",1959,"Sea Cruise",NULL
"Bucks Fizz",1982,"The Land of Make Believe",NULL
"Main Ingredient",1972,"Everybody Plays the Fool",NULL
Impalas,1959,"Sorry (I Ran All the Way Home)",NULL
"Sandy Nelson",1961,"Let There Be Drums",NULL
"Stonewall Jackson",1959,Waterloo,NULL
"Big Brovaz",2003,"Nu Flow",NULL
"Guy Lombardo",1937,"Boo Hoo",NULL
"Jack Scott",1958,"My True Love",NULL
Bucketheads,1995,"The Bomb! (These Sounds Fall Into My Mind)",NULL
"Shep Fields & his Rippling Rhythm Orchestra",1936,"Did I Remember?",NULL
"Rudy Vallee & his Connecticut Yankees",1929,Honey,NULL
"Johnny Preston",1960,"Cradle of Love",NULL
"Captain & Tennille",1976,"Muskrat Love",NULL
"Gordon Jenkins",1950,"Bewitched (bothered & bewildered)",NULL
"The Undisputed Truth",1971,"Smiling Faces Sometimes",NULL
"Chris Cornell",2006,"You Know My Name",NULL
"Frank Duval",1981,"Angel of Mine",NULL
"Frank Weir & Orchestra",1954,"Happy Wanderer",NULL
"Connie Francis",1962,"Don't Break the Heart That Loves You",NULL
"Anne Shelton",1952,"The Loveliest Night Of The Year",NULL
"Little River Band",1978,Reminiscing,NULL
"Nina Simone",1987,"My Baby Just Cares For Me",NULL
"Ce Ce Peniston",1994,"I'm in the Mood",NULL
"Xavier Cugat",1943,"Brazil (Aquarela do Brasil)",NULL
"Fred Astaire",1935,"Top Hat, White Tie & Tails",NULL
"Monty Python",1991,"Always Look On the Bright Side of Life",NULL
"The Chiffons",1963,"One Fine Day",NULL
"Ray Peterson",1960,"Tell Laura I Love Her",NULL
"Dave Clark Five",1965,"Catch Us If You Can",NULL
"Jordin Sparks",2009,Battlefield,NULL
"Aphrodite's Child",1970,"It's Five O'clock",NULL
Mis-Teeq,2003,Scandalous,NULL
"Jonathan Edwards",1972,Sunshine,NULL
"Fred Waring & the Pennsylvanians",1924,Sleep,NULL
Jade,1995,"Every Day Of The Week",NULL
"The Rubettes",1974,"Juke Box Jive",NULL
"Ohio Players",1975,Fire,NULL
"Fanny Brice",1921,"Second Hand Rose",NULL
Babyface,1994,"When Can I See You?",NULL
"BLACKstreet & Mya",1998,"Take Me There",NULL
"Russ Morgan",1950,"Beloved, Be Faithful",NULL
"Buddy Knox",1957,"Party Doll",NULL
"Perry Como",1947,"When You Were Sweet Sixteen",NULL
"Instant Funk",1979,"I Got My Mind Made Up",NULL
"Brenda Lee",1961,"Dum Dum",NULL
"The Weather Girls",1983,"It's Raining Men",NULL
"Perry Como",1957,"Round & Round",NULL
"Rita Ora",2012,"How We Do (Party)",NULL
"Blues Traveler",1995,"Run Around",NULL
"Sugar Ray",2001,"When It's Over",NULL
"David Seville & The Chipmunks",1958,"The Chipmunk Song (Christmas Don't Be Late)",NULL
"Sylvia Vanderpool",1973,"Pillow Talk",NULL
"Boy George",1993,"The Crying Game",NULL
"The Everly Brothers",1960,"So Sad (To Watch Good Love Go Bad)",NULL
Skee-Lo,1996,"I Wish",NULL
"Jim Stafford",1974,"Spiders & Snakes",NULL
"Dick Haymes",1947,Mam'selle,NULL
"Bimbo Jet",1975,"El Bimbo",NULL
K7,1994,"Come Baby Come",NULL
"O C Smith",1968,"Little Green Apples",NULL
"Lyte Funkie Ones",1999,"Summer Girls",NULL
"Ted Weems",1924,"Somebody Stole My Gal",NULL
"Dru Hill",1997,"In My Bed",NULL
"Bob Crosby & his Orchestra",1937,"Whispers in The Dark",NULL
"K-Ci & JoJo",1999,"Tell Me It's Real",NULL
"Major Lance",1963,"Monkey Time",NULL
"Al Jolson",1925,"All Alone",NULL
Sailor,1976,"Girls, Girls, Girls",NULL
"Inner Circle",1994,"Games People Play",NULL
"George Gershwin",1924,"Rhapsody in Blue","Porgy & Bess"
"Various Artists",1997,"Perfect Day","Show Boat"
"Benny Goodman",1937,"Sing, Sing, Sing (With A Swing)","The Famous 1938 Carnegie Hall Jazz Concert"
"Benny Goodman",1942,"Jersey Bounce","The Famous 1938 Carnegie Hall Jazz Concert"
"Benny Goodman",1943,"Taking A Chance On Love","The Famous 1938 Carnegie Hall Jazz Concert"
"Benny Goodman",1936,"Goody Goody","The Famous 1938 Carnegie Hall Jazz Concert"
"Benny Goodman",1936,"Glory of Love","The Famous 1938 Carnegie Hall Jazz Concert"
"Benny Goodman",1938,"Don't Be That Way","The Famous 1938 Carnegie Hall Jazz Concert"
"Benny Goodman",1934,"Moon Glow (1934)","The Famous 1938 Carnegie Hall Jazz Concert"
"George Gershwin",1924,"Rhapsody in Blue","An American in Paris"
